
Frequency: 22050, Amplitude pozitiv: 0, Amplitude negativ: 0, .-<<||||   ;
Frequency: 132, Amplitude pozitiv: 4782, Amplitude negativ: 4470, .-<<||||   125, 568, 1026, 1370, 1975, 2550, 3259, 3959, 4353, 4875, 5394, 6039, 6530, 6957, 7596, 8189, 8712, 9198, 9699, 9779, 9593, 9108, 8342, 8086, 8154, 8541, 9063, 9200, 8969, 8415, 8005, 7812, 7728, 7486, 7388, 7211, 6975, 6578, 6210, 5441, 4320, 3006, 2043, 1677, 1763, 2280, 2732, 2891, 3111, 3200, 2995, 2943, 2799, 2793, 3158, 3915, 4801, 5365, 5502, 5223, 4838, 4520, 4221, 3987, 3745, 3407, 2974, 2923, 2958, 3406, 3671, 3655, 3428, 2890, 2557, 2430, 2292, 2159, 1970, 1519, 1118, 511, -43, -661, -1266, -1904, -2472, -2955, -3284, -3453, -3215, -2708, -2327, -1916, -1991, -2553, -3499, -4086, -4188, -4091, -3799, -3464, -3225, -3315, -3430, -3616, -3779, -4092, -4445, -4698, -5074, -4992, -4903, -4590, -4430, -4487, -4582, -4773, -4858, -4992, -4923, -5036, -5068, -5125, -5381, -5598, -5836, -5981, -6144, -6349, -6681, -6919, -7054, -7072, -6973, -6957, -6792, -6760, -6812, -6880, -7173, -7276, -7177, -6880, -6362, -6055, -5944, -5958, -5936, -5975, -5880, -5564, -5233, -4814, -4453, -4190, -4035, -3850, -3586, -3291, -3064, -2710, -2437, -2224, -1800, -1167, -456, ;


Frequency: 132, Amplitude pozitiv: 4716, Amplitude negativ: 4492, .-<<||||   221, 790, 1298, 1830, 2269, 2712, 3185, 3681, 4368, 4921, 5394, 5761, 6183, 6735, 7242, 8023, 8593, 8987, 9356, 9015, 8483, 7917, 7721, 7654, 7885, 8394, 8421, 8430, 8007, 7548, 7183, 7165, 7248, 7252, 7213, 7078, 6851, 6608, 6111, 5022, 3645, 2450, 1681, 1528, 2090, 2743, 3154, 3253, 3182, 2986, 2867, 2844, 2813, 3282, 3962, 4856, 5515, 5773, 5946, 5534, 5163, 4870, 4431, 4078, 3760, 3461, 3312, 3383, 3768, 3972, 4117, 4079, 3637, 3373, 3121, 2874, 2692, 2353, 2148, 1813, 1282, 783, 147, -652, -1384, -2182, -2716, -3064, -3289, -3178, -2947, -2526, -2158, -1927, -2087, -2516, -3047, -3424, -3429, -3242, -2973, -2772, -2759, -2861, -3055, -3118, -3272, -3725, -4067, -4308, -4624, -4501, -4178, -3961, -3787, -3971, -4188, -4725, -5105, -5323, -5430, -5418, -5533, -5600, -5726, -5963, -6279, -6585, -6857, -7214, -7635, -7810, -7918, -7948, -7766, -7373, -7214, -7003, -7108, -7338, -7290, -7246, -7157, -6750, -6246, -5847, -5616, -5418, -5318, -5469, -5376, -5176, -5092, -4828, -4415, -4040, -3703, -3365, -3191, -3072, -2917, -2718, -2380, -1865, -1191, -470, ;


Frequency: 132, Amplitude pozitiv: 4763, Amplitude negativ: 3955, .-<<||||   190, 798, 1348, 1816, 2208, 2673, 3197, 3651, 4278, 4950, 5574, 6123, 6661, 6982, 7508, 8079, 8639, 9236, 9477, 9396, 9033, 8529, 8103, 7871, 7987, 8429, 8653, 8710, 8274, 7616, 7253, 7155, 7043, 7029, 7103, 7024, 7040, 6803, 6345, 5731, 4524, 3214, 2391, 1991, 2154, 2857, 3482, 3502, 3502, 3388, 3186, 3106, 3052, 3255, 3663, 4473, 5130, 5696, 5920, 5662, 5143, 4632, 4252, 3814, 3521, 3240, 2882, 2779, 3134, 3558, 3785, 3864, 3642, 3140, 2779, 2770, 2888, 2937, 2636, 2131, 1745, 1268, 775, 146, -617, -1289, -1888, -2381, -2516, -2560, -2470, -2110, -1820, -1439, -1342, -1548, -1840, -2075, -2113, -2189, -2171, -1924, -1860, -1946, -1941, -2055, -2213, -2297, -2744, -3198, -3570, -3803, -3633, -3112, -2711, -2761, -3109, -3367, -3861, -4264, -4419, -4564, -4710, -4723, -4693, -4867, -5051, -5342, -5826, -6396, -6781, -7261, -7447, -7590, -7583, -7334, -7095, -6944, -6855, -6968, -7060, -7008, -6901, -6637, -6276, -6046, -5782, -5653, -5414, -5301, -5164, -5006, -5017, -4832, -4625, -4255, -3960, -3473, -3125, -3074, -3129, -3027, -2864, -2399, -1722, -984, -361, ;


Frequency: 132, Amplitude pozitiv: 4894, Amplitude negativ: 4164, .-<<||||   168, 849, 1356, 1949, 2424, 2874, 3143, 3612, 4318, 4919, 5653, 6358, 6716, 7132, 7705, 8264, 8940, 9343, 9598, 9590, 9171, 8454, 7932, 7860, 8006, 8488, 8624, 8499, 8270, 7752, 7443, 7342, 7370, 7378, 7456, 7388, 7024, 6663, 6225, 5238, 4095, 3137, 2351, 2180, 2708, 3260, 3661, 3908, 3779, 3702, 3636, 3643, 3695, 3909, 4444, 5108, 5890, 6293, 6135, 5755, 5155, 4700, 4445, 4125, 3798, 3249, 2941, 3021, 3360, 3725, 3649, 3198, 2879, 2562, 2507, 2742, 2724, 2514, 2134, 1762, 1254, 772, 250, -332, -991, -1783, -2445, -2840, -3040, -2992, -2441, -1968, -1512, -1314, -1398, -1779, -2200, -2513, -2585, -2288, -1950, -1730, -1947, -1997, -2217, -2420, -2365, -2449, -2855, -3289, -3685, -3739, -3713, -3522, -3374, -3596, -3794, -3988, -4122, -4355, -4433, -4501, -4650, -4784, -4775, -5009, -5232, -5689, -6184, -6528, -6981, -7231, -7506, -7610, -7428, -7188, -7008, -6923, -7034, -7367, -7633, -7804, -7561, -7164, -6791, -6420, -6080, -6036, -5937, -5731, -5665, -5525, -5573, -5485, -5254, -4910, -4387, -4032, -3792, -3685, -3503, -3390, -2985, -2403, -1575, -720, -149, ;


Frequency: 133, Amplitude pozitiv: 4689, Amplitude negativ: 4267, .-<<||||   488, 984, 1526, 2048, 2402, 2893, 3463, 3806, 4495, 5210, 5857, 6362, 6779, 7152, 7589, 8259, 8730, 9155, 9203, 8821, 8284, 7798, 7505, 7540, 7919, 8224, 8346, 7965, 7547, 7151, 7081, 7095, 7087, 7236, 7162, 7071, 6710, 6150, 5320, 4139, 2994, 2207, 1948, 2357, 2963, 3598, 3695, 3633, 3455, 3167, 3228, 3174, 3490, 4001, 4594, 5325, 5858, 5884, 5560, 5138, 4745, 4492, 4179, 3798, 3207, 2679, 2548, 2917, 3345, 3514, 3345, 2992, 2657, 2482, 2419, 2529, 2478, 2133, 1624, 995, 546, 109, -518, -1224, -1916, -2719, -3391, -3619, -3684, -3399, -3026, -2744, -2527, -2480, -2565, -2692, -2877, -2915, -2846, -2586, -2281, -2347, -2525, -2655, -2699, -2587, -2668, -2893, -3457, -4036, -4290, -4300, -4129, -3832, -3643, -3770, -3872, -3860, -3973, -4178, -4373, -4541, -4754, -4726, -4693, -4740, -5158, -5785, -6297, -6827, -7150, -7415, -7647, -7531, -7561, -7284, -7094, -6972, -7067, -7316, -7379, -7232, -6936, -6511, -6134, -5928, -5702, -5599, -5415, -5304, -5102, -5118, -5077, -4935, -4592, -4293, -3963, -3595, -3298, -3016, -2727, -2401, -1745, -1034, -542, ;


Frequency: 132, Amplitude pozitiv: 4474, Amplitude negativ: 3975, .-<<||||   359, 1052, 1612, 2133, 2411, 2809, 3088, 3386, 3864, 4332, 5057, 5652, 6361, 6822, 7252, 7621, 7996, 8477, 8911, 9045, 8785, 8224, 7573, 7142, 6989, 7216, 7651, 7847, 7593, 7106, 6566, 6433, 6517, 6733, 6742, 6849, 6553, 6033, 5653, 5011, 4217, 3255, 2305, 1665, 1792, 2297, 2881, 3292, 3461, 3296, 3087, 2833, 2978, 3178, 3525, 4130, 4713, 5223, 5397, 5440, 4960, 4543, 4235, 3884, 3415, 3096, 2749, 2518, 2568, 2893, 3246, 3269, 3203, 2904, 2523, 2537, 2374, 2414, 2388, 2030, 1736, 1105, 356, -385, -966, -1578, -2323, -2858, -3216, -3685, -3623, -3157, -2674, -2142, -1846, -1846, -1969, -2204, -2225, -2234, -2217, -2046, -1939, -1958, -2133, -2218, -2110, -2029, -2252, -2619, -3160, -3413, -3508, -3402, -2981, -2549, -2562, -2643, -2825, -3168, -3222, -3549, -3795, -4084, -4147, -4332, -4626, -5100, -5875, -6270, -6648, -7038, -7341, -7638, -7600, -7652, -7369, -7079, -6870, -6884, -7155, -7464, -7670, -7364, -7104, -6739, -6400, -6156, -5856, -5711, -5466, -5279, -5168, -5178, -5105, -4922, -4515, -4062, -3581, -3199, -2976, -2632, -2377, -1876, -1418, -753, -36, ;


Frequency: 132, Amplitude pozitiv: 4410, Amplitude negativ: 4233, .-<<||||   749, 1465, 1832, 2334, 2680, 2994, 3179, 3442, 3886, 4623, 5208, 5673, 6370, 6748, 7266, 7735, 8065, 8552, 8787, 8618, 8141, 7489, 7047, 6877, 6937, 7115, 7290, 7221, 6873, 6597, 6353, 6520, 6659, 6744, 6744, 6511, 6311, 5957, 5650, 4926, 4009, 2993, 2293, 2070, 2359, 3094, 3417, 3582, 3459, 3301, 3219, 3206, 3333, 3717, 4088, 4526, 4921, 5271, 5378, 5128, 4933, 4499, 4150, 3567, 3144, 2569, 2204, 2055, 2061, 2308, 2388, 2480, 2221, 1913, 1755, 1727, 1694, 1525, 1239, 874, 395, -168, -879, -1430, -1945, -2677, -3291, -3849, -4026, -4075, -3765, -3257, -2896, -2528, -2512, -2897, -3280, -3247, -3159, -2976, -2681, -2628, -2577, -2654, -2739, -2674, -2613, -2672, -2864, -3198, -3577, -3765, -3917, -3706, -3574, -3384, -3330, -3532, -3597, -3752, -3934, -4157, -4405, -4596, -4728, -4939, -5245, -5674, -6007, -6374, -6803, -7001, -7273, -7475, -7373, -7131, -6879, -6825, -6853, -7042, -7576, -7605, -7596, -7228, -6744, -6348, -6049, -5866, -5551, -5486, -5268, -5009, -4847, -4796, -4829, -4591, -4365, -4036, -3623, -3327, -3076, -2784, -2391, -1864, -1382, -642, ;


Frequency: 132, Amplitude pozitiv: 4229, Amplitude negativ: 4150, .-<<||||   146, 753, 1336, 1623, 1988, 2286, 2606, 2880, 3227, 3834, 4360, 4876, 5393, 5728, 6105, 6537, 6980, 7313, 7574, 7884, 8036, 8178, 8397, 8329, 7845, 7446, 7061, 6881, 7152, 7269, 7206, 7006, 6675, 6159, 6047, 5911, 5998, 6031, 5827, 5742, 5452, 4986, 4382, 3913, 3260, 2982, 2989, 3130, 3398, 3331, 3469, 3667, 3611, 3451, 3123, 3087, 3138, 3331, 3783, 4135, 4340, 4207, 3988, 3665, 3386, 3196, 2953, 2643, 2410, 2079, 1922, 1776, 1689, 1815, 1666, 1511, 1371, 1135, 768, 540, 323, -158, -620, -1272, -1831, -2469, -2855, -3144, -3410, -3697, -4025, -4175, -4229, -4194, -4001, -3661, -3574, -3526, -3790, -3912, -4083, -4285, -4157, -3867, -3699, -3595, -3576, -3657, -3581, -3585, -3572, -3736, -3870, -3899, -3896, -3785, -3693, -3601, -3434, -3526, -3633, -3895, -3977, -4061, -4239, -4403, -4635, -4999, -5491, -5788, -5871, -5828, -5956, -6200, -6433, -6639, -6759, -6609, -6657, -6568, -6428, -6693, -6739, -6650, -6533, -6275, -6075, -5740, -5472, -5312, -5153, -5001, -4871, -4475, -4221, -3971, -3657, -3359, -3204, -2984, -2652, -2465, -2184, -1836, -1363, -901, -480, ;


Frequency: 132, Amplitude pozitiv: 4221, Amplitude negativ: 4315, .-<<||||   43, 423, 992, 1290, 1603, 1951, 2098, 2372, 2557, 3062, 3554, 4018, 4321, 4433, 4779, 5235, 5491, 5907, 6281, 6339, 6353, 6445, 6835, 7033, 7393, 7665, 7604, 7486, 7273, 7103, 7032, 7093, 7132, 7080, 7000, 6639, 6371, 6220, 6001, 6047, 5917, 5742, 5560, 5457, 5218, 5008, 4715, 4443, 4193, 3854, 3781, 3665, 3499, 3640, 3646, 3669, 3630, 3588, 3483, 3391, 3374, 3364, 3717, 3707, 3763, 3663, 3495, 3477, 3522, 3399, 3208, 2964, 2485, 2276, 1979, 1673, 1454, 1282, 1169, 842, 516, 199, -308, -715, -1085, -1233, -1480, -1881, -2211, -2402, -2796, -3233, -3457, -3746, -3957, -4380, -4339, -4226, -4224, -4239, -4295, -4399, -4426, -4502, -4619, -4590, -4523, -4350, -4213, -4392, -4566, -4644, -4705, -4715, -4731, -4664, -4739, -4795, -4825, -5010, -5191, -5051, -5169, -5218, -5337, -5450, -5466, -5529, -5739, -5963, -5903, -5863, -5803, -5866, -6135, -6184, -6161, -6330, -6409, -6728, -6842, -6748, -6688, -6424, -6047, -5728, -5471, -5354, -5245, -5265, -5187, -4948, -4693, -4397, -4197, -3857, -3533, -3164, -2740, -2469, -2340, -2326, -1988, -1745, -1270, -685, -352, ;


Frequency: 129, Amplitude pozitiv: 4340, Amplitude negativ: 4359, .-<<||||   87, 393, 734, 982, 1343, 1658, 1882, 2327, 2567, 2926, 3423, 3825, 4119, 4273, 4609, 4795, 5124, 5554, 5563, 5799, 6087, 6294, 6409, 6631, 6760, 6795, 6988, 7231, 7515, 7766, 8070, 8307, 8269, 8098, 8223, 8069, 7976, 7862, 7673, 7416, 7146, 6968, 6556, 6322, 6239, 6075, 5804, 5698, 5677, 5407, 5486, 5318, 5058, 4764, 4408, 4204, 4045, 3760, 3406, 3224, 2870, 2590, 2434, 2304, 2023, 1868, 1750, 1561, 1714, 1967, 1957, 1997, 2108, 2189, 2031, 1997, 1830, 1558, 1299, 1061, 634, 212, -128, -506, -730, -1029, -1298, -1745, -1987, -2289, -2562, -2888, -2852, -2951, -3196, -3396, -3556, -3713, -3984, -4252, -4260, -4276, -4470, -4714, -5100, -5338, -5510, -5513, -5636, -5697, -5800, -5891, -5774, -5714, -5729, -5568, -5496, -5343, -5254, -5177, -5193, -5083, -5104, -5284, -5304, -5472, -5470, -5757, -5742, -5862, -6039, -6021, -6203, -6262, -6316, -6400, -6256, -6162, -5978, -5713, -5900, -5787, -5815, -5675, -5517, -5436, -5359, -5483, -5512, -5595, -5661, -5410, -5121, -4964, -4765, -4628, -4319, -4037, -3734, -3346, -3108, -2825, -2525, -2207, -1927, -1468, -1120, -914, -458, -103, ;


Frequency: 132, Amplitude pozitiv: 4633, Amplitude negativ: 4419, .-<<||||   310, 663, 896, 1194, 1334, 1599, 1965, 2326, 2656, 3033, 3339, 3686, 4041, 4348, 4781, 5018, 5350, 5504, 5775, 6055, 6270, 6493, 6674, 6900, 7204, 7523, 7682, 7994, 8011, 8059, 7966, 8006, 8121, 8271, 8305, 8212, 8113, 8031, 7693, 7193, 6930, 6747, 6573, 6245, 5898, 5494, 5018, 4484, 4165, 4063, 3834, 3541, 3371, 3252, 3392, 3484, 3592, 3739, 3924, 3905, 3806, 3739, 3755, 3899, 3971, 4009, 3947, 3874, 3771, 3825, 3739, 3684, 3437, 2990, 2654, 2316, 1928, 1442, 1033, 581, -21, -580, -1015, -1526, -1866, -2085, -2267, -2552, -2803, -3137, -3372, -3540, -3699, -3769, -3913, -4139, -4273, -4354, -4424, -4264, -4440, -4590, -4707, -4879, -4906, -4738, -4689, -4846, -4984, -5040, -5092, -5142, -5086, -5181, -5211, -5378, -5452, -5597, -5710, -5523, -5592, -5650, -5679, -5745, -5821, -5923, -6033, -6006, -6144, -6140, -6165, -6164, -6216, -6176, -6318, -6265, -6148, -6381, -6481, -6338, -6338, -6129, -5983, -5884, -5801, -5713, -5653, -5547, -5297, -4982, -4808, -4606, -4336, -4042, -3714, -3492, -3275, -3172, -2870, -2769, -2492, -2163, -1821, -1364, -948, -724, -365, ;


Frequency: 130, Amplitude pozitiv: 4579, Amplitude negativ: 4365, .-<<||||   177, 587, 885, 1014, 1237, 1627, 1967, 2252, 2766, 2978, 3158, 3401, 3783, 4032, 4230, 4607, 4770, 4886, 5126, 5337, 5399, 5643, 5837, 6039, 6361, 6602, 6901, 7097, 7407, 7304, 7185, 7287, 7376, 7444, 7404, 7474, 7386, 7482, 7472, 7365, 7365, 7351, 7355, 7247, 7190, 7032, 7006, 6891, 6653, 6340, 6191, 5857, 5441, 5283, 5008, 4830, 4702, 4610, 4503, 4213, 3951, 3801, 3630, 3515, 3413, 3348, 3165, 3057, 2863, 2866, 2841, 2697, 2617, 2506, 2247, 1879, 1524, 1233, 897, 379, 166, -163, -589, -871, -1156, -1614, -1783, -1908, -2196, -2530, -2642, -2934, -3133, -3232, -3364, -3641, -3882, -3937, -4030, -4084, -4216, -4332, -4389, -4423, -4322, -4425, -4561, -4739, -4883, -5105, -5286, -5447, -5655, -5748, -5935, -6049, -6179, -6342, -6422, -6443, -6553, -6506, -6583, -6596, -6658, -6723, -6713, -6843, -6868, -6904, -6842, -6892, -6699, -6519, -6266, -6091, -6020, -6203, -6124, -6000, -5859, -5768, -5638, -5435, -5455, -5314, -5354, -5142, -5040, -4937, -4645, -4523, -4341, -4128, -3817, -3597, -3270, -2982, -2788, -2541, -2257, -1967, -1706, -1412, -1188, -796, -568, -345, -145, ;


Frequency: 128, Amplitude pozitiv: 4493, Amplitude negativ: 4251, .-<<||||   139, 358, 559, 783, 1149, 1611, 1920, 2093, 2217, 2605, 2952, 3123, 3493, 3769, 4059, 4174, 4298, 4541, 4723, 4994, 5098, 5321, 5650, 5886, 6163, 6355, 6541, 6645, 6629, 6696, 6732, 6956, 7116, 7294, 7310, 7347, 7371, 7455, 7506, 7404, 7558, 7638, 7630, 7605, 7678, 7595, 7458, 7213, 7038, 6879, 6773, 6566, 6437, 6247, 5972, 5867, 5471, 5416, 5044, 4669, 4463, 4256, 4085, 3992, 3814, 3756, 3570, 3350, 3277, 3115, 3114, 2730, 2647, 2502, 2303, 2183, 1873, 1597, 1374, 1223, 1034, 809, 590, 327, 182, -10, -228, -474, -842, -1052, -1380, -1565, -1784, -2067, -2298, -2667, -2923, -3036, -3293, -3402, -3471, -3524, -3518, -3707, -3982, -4281, -4549, -4773, -4894, -4991, -5156, -5283, -5466, -5561, -5673, -5751, -5828, -6103, -6104, -6293, -6389, -6378, -6480, -6581, -6572, -6647, -6781, -6809, -6871, -6856, -6896, -6934, -7006, -6859, -6820, -6709, -6637, -6543, -6489, -6330, -6102, -6003, -5888, -5736, -5406, -5217, -5126, -5037, -4923, -4775, -4588, -4333, -4152, -4023, -3758, -3707, -3524, -3223, -3032, -2690, -2421, -2184, -2006, -1760, -1477, -1298, -1163, -994, -752, -549, -251, ;


Frequency: 126, Amplitude pozitiv: 4507, Amplitude negativ: 4232, .-<<||||   52, 375, 668, 944, 1376, 1568, 1783, 2013, 2218, 2638, 2883, 3040, 3357, 3547, 3813, 4040, 4242, 4678, 4894, 5288, 5626, 5837, 6068, 6112, 6280, 6338, 6495, 6784, 6989, 7134, 7083, 7034, 7122, 7159, 7193, 7251, 7448, 7438, 7584, 7657, 7756, 7814, 7555, 7562, 7611, 7360, 7184, 7231, 7157, 7015, 6801, 6676, 6515, 6213, 6074, 5924, 5621, 5400, 5209, 4857, 4672, 4451, 4491, 4327, 4127, 4098, 3832, 3739, 3445, 3146, 2990, 2712, 2402, 2228, 1902, 1592, 1394, 1040, 742, 670, 618, 511, 284, 114, 53, -123, -302, -474, -646, -1082, -1284, -1569, -1903, -1964, -2123, -2201, -2269, -2477, -2763, -3019, -3385, -3661, -3927, -4177, -4296, -4523, -4636, -4744, -4836, -4919, -5055, -5284, -5465, -5571, -5784, -5876, -5955, -6135, -6348, -6398, -6476, -6516, -6668, -6680, -6804, -6880, -6738, -6824, -6872, -6931, -6846, -6977, -7086, -6965, -6877, -6832, -6813, -6600, -6442, -6251, -6133, -5964, -5821, -5641, -5473, -5404, -5420, -5267, -5130, -5017, -4838, -4631, -4541, -4481, -4157, -3960, -3763, -3571, -3406, -3185, -2993, -2710, -2454, -2326, -1979, -1788, -1674, -1252, -1093, -860, -646, -516, -262, -40, ;


Frequency: 130, Amplitude pozitiv: 4387, Amplitude negativ: 4301, .-<<||||   177, 344, 556, 700, 942, 1141, 1612, 2020, 2283, 2596, 2817, 3178, 3383, 3536, 3870, 4024, 4188, 4453, 4756, 5144, 5311, 5368, 5447, 5611, 5731, 5912, 5977, 6139, 6080, 6206, 6482, 6615, 6729, 6836, 6864, 6836, 6918, 6940, 6944, 7078, 7064, 7022, 7099, 7030, 6836, 6851, 6740, 6679, 6516, 6254, 6078, 5987, 5866, 5723, 5752, 5695, 5703, 5501, 5527, 5367, 5224, 5066, 4892, 4668, 4381, 4220, 3902, 3540, 3264, 3049, 2893, 2836, 2541, 2271, 2191, 2097, 1820, 1697, 1490, 1203, 969, 716, 482, 140, -51, -275, -236, -456, -557, -767, -1089, -1256, -1473, -1813, -2344, -2617, -2709, -3077, -3481, -3488, -3654, -3959, -4238, -4380, -4565, -4816, -5150, -5396, -5801, -5920, -6051, -6272, -6366, -6387, -6507, -6531, -6427, -6629, -6565, -6567, -6729, -6793, -6813, -6904, -6993, -7030, -7135, -7062, -7098, -7051, -6923, -6754, -6734, -6618, -6462, -6420, -6129, -6161, -6209, -6007, -5894, -5825, -5713, -5520, -5339, -5269, -5137, -4904, -4643, -4568, -4395, -3966, -3717, -3485, -3341, -3183, -3040, -2737, -2420, -2106, -1839, -1604, -1382, -1230, -966, -686, -446, -355, -54, ;


Frequency: 128, Amplitude pozitiv: 3736, Amplitude negativ: 3827, .-<<||||   37, 183, 392, 482, 819, 1027, 1365, 1684, 1965, 2319, 2502, 2572, 2810, 3053, 3223, 3285, 3383, 3704, 3976, 4129, 4241, 4324, 4468, 4645, 4790, 4971, 5147, 5280, 5407, 5490, 5634, 5703, 5646, 5756, 5753, 5776, 5892, 6036, 6001, 5910, 6076, 6178, 5982, 5700, 5522, 5432, 5446, 5337, 5170, 5028, 4971, 4961, 4996, 5159, 5273, 5206, 5239, 5251, 5138, 5087, 5086, 5005, 4796, 4647, 4531, 4350, 4196, 4285, 4228, 4164, 4038, 3968, 3821, 3615, 3325, 2925, 2786, 2656, 2461, 2320, 2219, 2094, 1930, 1734, 1663, 1526, 1342, 1277, 1020, 908, 669, 391, 298, 47, -136, -282, -468, -626, -871, -1098, -1337, -1632, -2012, -2257, -2347, -2532, -2711, -3082, -3423, -3674, -3855, -4086, -4378, -4343, -4401, -4594, -4765, -4952, -5166, -5272, -5451, -5543, -5547, -5658, -5690, -5558, -5695, -5552, -5554, -5741, -5752, -5736, -5761, -5847, -5757, -5890, -5868, -5785, -5873, -5720, -5829, -5767, -5660, -5674, -5460, -5275, -5183, -4979, -4798, -4674, -4499, -4515, -4321, -4071, -3915, -3609, -3426, -3368, -3162, -2963, -2859, -2731, -2485, -2350, -2071, -1838, -1487, -1139, -930, -547, -480, -176, ;


Frequency: 123, Amplitude pozitiv: 3359, Amplitude negativ: 3066, .-<<||||   54, 421, 571, 791, 1080, 1250, 1565, 1680, 1887, 2027, 2046, 2228, 2487, 2632, 2817, 3023, 3176, 3446, 3598, 3709, 3948, 4073, 4255, 4505, 4664, 4841, 4905, 4933, 4946, 5043, 5288, 5321, 5307, 5498, 5407, 5408, 5641, 5653, 5716, 5721, 5562, 5386, 5403, 5378, 5292, 5180, 5101, 5042, 4984, 4826, 4736, 4622, 4497, 4560, 4462, 4394, 4385, 4401, 4283, 4097, 3957, 3888, 3872, 3806, 3787, 3728, 3640, 3575, 3390, 3312, 3195, 3126, 3012, 2863, 2653, 2385, 2281, 2243, 2217, 1997, 1919, 1921, 1813, 1794, 1568, 1513, 1432, 1213, 1198, 1041, 907, 643, 604, 343, 143, -26, -333, -412, -578, -688, -887, -1160, -1387, -1590, -1756, -1956, -2102, -2299, -2507, -2498, -2571, -2678, -2811, -3020, -3308, -3572, -3653, -3804, -3933, -4002, -4208, -4262, -4325, -4360, -4369, -4472, -4591, -4584, -4481, -4584, -4566, -4594, -4686, -4733, -4697, -4744, -4728, -4601, -4710, -4670, -4707, -4626, -4498, -4447, -4198, -4167, -4264, -4210, -4263, -4171, -4047, -4014, -3990, -3961, -3881, -3814, -3778, -3678, -3554, -3434, -3252, -3061, -3026, -2638, -2440, -2295, -2273, -2101, -1847, -1606, -1390, -1173, -1025, -951, -731, -636, -516, -347, -87, ;


Frequency: 130, Amplitude pozitiv: 2838, Amplitude negativ: 2363, .-<<||||   102, 323, 413, 611, 885, 1073, 1247, 1583, 1785, 2010, 2246, 2391, 2451, 2529, 2852, 2896, 3017, 3260, 3370, 3484, 3596, 3766, 3861, 3917, 3937, 4227, 4314, 4320, 4196, 4225, 4376, 4418, 4557, 4548, 4546, 4512, 4488, 4442, 4518, 4414, 4367, 4394, 4345, 4320, 4055, 3983, 3892, 3801, 3778, 3760, 3694, 3669, 3548, 3547, 3493, 3473, 3486, 3455, 3437, 3199, 3037, 2874, 2778, 2695, 2513, 2532, 2503, 2289, 2307, 2205, 2067, 1866, 1686, 1609, 1465, 1454, 1294, 1165, 1044, 871, 563, 504, 360, 181, 33, -270, -351, -520, -815, -926, -1172, -1293, -1303, -1654, -1742, -1782, -1973, -1908, -2084, -2200, -2393, -2433, -2523, -2703, -2828, -2910, -3091, -3169, -3148, -3138, -3223, -3477, -3378, -3508, -3447, -3412, -3408, -3418, -3574, -3498, -3369, -3367, -3526, -3581, -3616, -3716, -3662, -3574, -3409, -3388, -3313, -3208, -3233, -3163, -3170, -3240, -3149, -3067, -3008, -3012, -2938, -2943, -2880, -2781, -2731, -2606, -2602, -2502, -2393, -2280, -2155, -2026, -1976, -1825, -1826, -1830, -1666, -1555, -1447, -1291, -1084, -870, -740, -622, -513, -425, -349, -158, -79, ;


Frequency: 132, Amplitude pozitiv: 2444, Amplitude negativ: 1870, .-<<||||   86, 163, 248, 339, 432, 701, 825, 1060, 1106, 1227, 1316, 1398, 1554, 1735, 1987, 1971, 2016, 2207, 2269, 2379, 2476, 2482, 2657, 2891, 2937, 2972, 2880, 2914, 2929, 3120, 3142, 3096, 3258, 3278, 3355, 3523, 3554, 3609, 3786, 3868, 3720, 3645, 3695, 3494, 3535, 3477, 3380, 3416, 3591, 3618, 3679, 3672, 3657, 3719, 3644, 3683, 3704, 3650, 3516, 3553, 3495, 3418, 3360, 3391, 3350, 3285, 3160, 3012, 2966, 2795, 2816, 2692, 2598, 2422, 2310, 2243, 2007, 2062, 2008, 1888, 1647, 1587, 1478, 1256, 1061, 869, 608, 461, 364, 214, 189, 44, -84, -233, -407, -626, -745, -863, -989, -1163, -1389, -1451, -1571, -1581, -1738, -1801, -1926, -2030, -2180, -2199, -2239, -2512, -2614, -2599, -2608, -2627, -2661, -2717, -2754, -3043, -2864, -2951, -3093, -2907, -2952, -2957, -2902, -2915, -2935, -2853, -2779, -2790, -2668, -2749, -2784, -2650, -2622, -2475, -2465, -2530, -2458, -2335, -2423, -2386, -2156, -2082, -1882, -1749, -1578, -1483, -1491, -1487, -1487, -1324, -1213, -1104, -1006, -976, -686, -497, -565, -367, -298, -145, -6, -30, ;


